DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-11-02,Orlando Magic,86,Charlotte Hornets,100
1999-11-02,Golden State Warriors,96,Dallas Mavericks,108
1999-11-02,Phoenix Suns,102,Denver Nuggets,107
1999-11-02,Milwaukee Bucks,98,Houston Rockets,93
1999-11-02,Seattle SuperSonics,104,Los Angeles Clippers,92
1999-11-02,Detroit Pistons,122,Miami Heat,128
1999-11-02,Indiana Pacers,119,New Jersey Nets,112
1999-11-02,Cleveland Cavaliers,84,New York Knicks,92
1999-11-02,Philadelphia 76ers,76,San Antonio Spurs,89
1999-11-02,Boston Celtics,103,Toronto Raptors,90
1999-11-02,Los Angeles Lakers,91,Utah Jazz,84
1999-11-02,Portland Trail Blazers,106,Vancouver Grizzlies,86
1999-11-02,Atlanta Hawks,87,Washington Wizards,94
1999-11-03,Washington Wizards,101,Boston Celtics,112
1999-11-03,New York Knicks,84,Chicago Bulls,74
1999-11-03,New Jersey Nets,90,Cleveland Cavaliers,97
1999-11-03,Vancouver Grizzlies,88,Los Angeles Lakers,103
1999-11-03,Detroit Pistons,94,Orlando Magic,103
1999-11-03,Los Angeles Clippers,98,Portland Trail Blazers,121
1999-11-04,Milwaukee Bucks,119,Atlanta Hawks,109
1999-11-04,Indiana Pacers,89,Charlotte Hornets,98
1999-11-04,Philadelphia 76ers,80,Phoenix Suns,84
1999-11-04,Golden State Warriors,81,San Antonio Spurs,104
1999-11-04,Dallas Mavericks,96,Seattle SuperSonics,106
1999-11-04,Miami Heat,86,Toronto Raptors,97
1999-11-04,Houston Rockets,82,Utah Jazz,98
1999-11-05,Charlotte Hornets,100,Boston Celtics,103
1999-11-05,Miami Heat,105,Chicago Bulls,87
1999-11-05,New York Knicks,103,Detroit Pistons,91
1999-11-05,San Antonio Spurs,95,Houston Rockets,85
1999-11-05,Philadelphia 76ers,81,Los Angeles Clippers,91
1999-11-05,Toronto Raptors,112,New Jersey Nets,92
1999-11-05,Cleveland Cavaliers,104,Orlando Magic,99
1999-11-05,Denver Nuggets,83,Portland Trail Blazers,95
1999-11-05,Minnesota Timberwolves,95,Sacramento Kings,100
1999-11-06,Chicago Bulls,97,Atlanta Hawks,113
1999-11-06,New York Knicks,93,Cleveland Cavaliers,102
1999-11-06,Dallas Mavericks,120,Golden State Warriors,97
1999-11-06,Boston Celtics,108,Indiana Pacers,115
1999-11-06,Detroit Pistons,111,Milwaukee Bucks,121
1999-11-06,Sacramento Kings,101,Minnesota Timberwolves,114
1999-11-06,Los Angeles Lakers,82,Portland Trail Blazers,97
1999-11-06,Utah Jazz,94,Seattle SuperSonics,99
1999-11-06,Denver Nuggets,94,Vancouver Grizzlies,109
1999-11-06,Orlando Magic,107,Washington Wizards,104
1999-11-07,Dallas Mavericks,97,Los Angeles Lakers,105
1999-11-07,Washington Wizards,87,New Jersey Nets,112
1999-11-07,San Antonio Spurs,74,Phoenix Suns,77
