Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,effective-possession-ratio,opponent-effective-possession-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game
memphis,115.4,6.3,43.5,94.3,1.109,1.048,52.2,109.6,34.9,52.1,73.3,11.4,32.6,14.2,35.4,58.8,30.2,77.8,53.1,6.6,9.8,25.7,13.2,1.947,0.697,0.571,104.1,19.7,109.1,-6.3,45.1,51.9,34.9,51.6,77.3,110.0,24.8,14.9,1.665,1.01,0.954,10.1,32.8,51.9,22.2,69.8,6.3,7.1
minnesota,115.4,3.2,41.5,91.0,1.103,1.073,53.7,113.3,35.6,53.9,77.7,14.7,41.4,11.3,33.3,52.7,24.5,75.1,48.9,5.6,8.7,25.5,14.3,1.783,0.566,0.6,104.6,21.7,112.2,-3.2,45.5,53.0,34.5,53.9,78.3,113.1,25.8,16.2,1.591,0.971,0.951,11.1,34.9,54.9,24.9,75.5,4.9,7.3
phoenix,115.3,8.5,43.7,89.6,1.122,1.04,55.3,116.3,37.0,55.3,79.9,11.7,31.6,9.6,35.6,52.3,22.3,77.1,50.0,4.5,8.5,27.4,12.9,2.129,0.813,0.79,102.8,19.7,106.9,-8.5,44.3,50.9,33.8,51.0,75.9,107.9,22.6,14.6,1.548,0.969,0.96,10.6,33.6,52.2,22.9,77.7,3.9,7.5
milwaukee,114.9,3.7,41.5,89.1,1.115,1.08,54.6,115.0,36.8,54.1,77.4,14.3,38.7,10.2,36.6,54.7,23.0,78.4,51.0,4.0,7.5,23.6,13.4,1.761,0.627,0.455,103.0,18.2,111.3,-3.7,45.3,53.2,35.2,53.5,74.5,111.1,25.5,13.0,1.966,0.969,0.972,10.1,34.3,52.6,21.6,77.0,4.3,7.3
charlotte,114.7,0.3,42.4,91.7,1.101,1.098,53.9,112.5,36.3,53.5,73.7,13.9,38.4,11.0,33.9,52.6,23.5,74.7,48.4,4.9,8.6,27.6,13.2,2.098,0.513,0.421,104.2,19.9,114.4,-0.3,46.3,54.0,35.7,54.3,76.4,113.5,26.3,15.0,1.753,0.979,0.966,11.5,35.9,56.0,25.3,76.5,4.7,7.5
utah,113.3,5.5,40.6,86.0,1.129,1.074,55.7,117.1,36.3,56.7,77.4,14.7,40.4,10.6,35.4,54.2,25.0,78.0,52.1,4.9,7.1,22.3,14.1,1.586,0.592,0.429,100.4,19.0,107.8,-5.5,45.4,52.2,34.9,52.1,75.7,109.5,23.3,11.9,1.947,0.965,0.98,10.0,31.7,49.9,22.0,75.0,4.3,7.7
qtlanta,113.2,0.8,41.3,88.2,1.124,1.116,54.0,114.7,37.2,53.0,81.2,12.7,34.1,10.0,33.8,51.4,23.0,76.8,50.4,4.4,7.1,24.5,12.0,2.041,0.507,0.5,100.7,18.6,112.4,-0.8,47.2,54.4,36.5,54.1,79.7,114.4,25.7,12.7,2.021,0.98,0.975,10.2,33.6,50.6,23.2,77.0,4.6,7.2
san antonio,113.0,-0.3,43.4,93.4,1.087,1.09,52.5,109.8,35.0,52.5,75.1,11.2,31.9,11.4,34.2,53.6,24.2,75.0,49.4,5.1,7.6,28.0,12.8,2.191,0.413,0.391,104.0,18.1,113.3,0.3,46.8,53.3,35.8,53.0,76.9,112.0,23.9,13.9,1.72,0.987,0.976,11.4,35.5,54.8,25.0,75.8,5.1,7.3
brooklyn,112.4,0.4,41.8,88.2,1.096,1.092,53.8,114.1,35.7,54.0,80.2,11.3,31.5,10.3,33.8,52.0,23.9,75.0,49.8,5.4,7.1,25.2,14.0,1.801,0.526,0.65,102.6,20.1,112.1,-0.4,45.3,52.2,34.7,52.4,79.7,111.2,24.1,13.4,1.792,0.964,0.979,11.3,32.9,52.5,25.0,76.1,5.0,7.9
denver,111.8,2.5,41.3,86.2,1.108,1.084,55.3,116.4,35.4,56.9,79.2,12.8,36.1,9.2,34.9,51.5,21.9,78.4,51.1,3.7,7.2,27.6,14.4,1.913,0.592,0.684,100.9,19.8,109.4,-2.5,46.8,53.6,34.3,55.0,75.3,112.5,25.1,12.9,1.946,0.948,0.968,9.6,32.8,49.3,21.6,78.1,4.8,7.9
